id;category;subcategories;creationdate;contactagreement;status;forwardtoreponseconso;tags;signalement_transmis;signalement_lu;signalement_reponse;dep_name;dep_code;reg_code;reg_name
4b767921-50b6-4607-bac1-d69be7173d73;Internet;Un influenceur ou une influenceuse,L'influenceur n'indique pas le caractère commercial de sa publication;2023-08-24;0;NA;0;Influenceur;0;0;0;Paris;75;11;Île-de-France
350da985-9148-4157-9437-c6c6f768bd68;AchatInternet;Le site internet en lui-même,Autre;2023-08-24;0;NonConsulte;0;Internet;1;0;0;Hauts-de-Seine;92;11;Île-de-France
ef03bb81-5cf0-4e3d-ae70-c24119b3f7d3;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-30;1;NA;0;Internet,Litige contractuel;0;0;0;;;;
ac669fab-f5ca-4d04-8408-f0a8000c9591;AchatMagasinInternet;Un problème qui concerne le magasin de façon générale,Moyens de paiement,Le commerçant refuse que je paie en espèces,Il refuse les espèces d'une façon générale;2020-04-28;1;PromesseAction;0;;1;1;1;Rhône;69;84;Auvergne-Rhône-Alpes
3e8d1cf9-74d0-442e-8029-8a64e91ea578;Internet;Un influenceur ou une influenceuse,L'influenceur n'indique pas le caractère commercial de sa publication;2023-08-24;0;NA;0;Influenceur;0;0;0;Paris;75;11;Île-de-France
9e0374fc-78ae-4c8e-b5be-fc37ea2707df;CafeRestaurant;Service,On a refusé de me donner une table ou de me servir;2023-08-15;0;Infonde;0;;1;1;1;Var;83;93;Provence-Alpes-Côte d'Azur
477c25e7-5015-464e-893c-daf74f7d6bb8;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Prix,Il manque des prix / les prix sont illisibles;2023-08-24;0;NonConsulte;0;;1;0;0;Hérault;34;76;Occitanie
4dac3896-af48-4d4a-b5f6-ba2cd22e3797;TravauxRenovations;Rénovation énergétique,chauffage,Autre;2024-01-03;0;MalAttribue;0;;1;1;1;Paris;75;11;Île-de-France
6162c3a0-8262-4a8b-8593-77dfaeec1f04;VoyageLoisirs;Transports en commun,Retard / Annulation / Remboursement;2023-08-24;1;PromesseAction;0;;1;1;1;Haute-Corse;2B;94;Corse
42b6235b-c57c-4cd2-a084-fa1d2f4f9311;AchatInternet;Un produit,C'est un objet,Impossible de renvoyer un produit et de me faire rembourser,Il présente un défaut ou il ne marche plus,Neuf,Il y a moins de 2 ans;2023-04-07;1;PromesseAction;0;Produit industriel,Internet,Litige contractuel;1;1;1;Paris;75;11;Île-de-France
3ed85c8a-20cb-438c-be47-8da67d83c309;TelephonieFaiMedias;Téléphonie / internet,Mon forfait : prix, contrat et facture,Autre problème de facturation ou de contrat,Autre;2023-08-24;1;NonConsulte;0;Litige contractuel;1;0;0;Seine-et-Marne;77;11;Île-de-France
8dcd55d2-a3e6-4579-a3b5-ce75be12e1c1;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Autre,Problème de voisinage;2023-08-24;0;PromesseAction;0;;1;1;1;Pas-de-Calais;62;32;Hauts-de-France
79e812b2-e9e4-4503-a1cc-1c3af0973bfe;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-30;1;NonConsulte;0;Internet,Litige contractuel;1;0;0;Loire-Atlantique;44;52;Pays de la Loire
0461623f-1a51-4958-98c8-9e34e08c610c;VoyageLoisirs;Agence de voyage,Annulation / remboursement,Oui;2022-02-07;1;NA;0;Litige contractuel,Internet;0;0;0;;;;
74bff975-b46e-4715-9ad3-14495915189a;AchatInternet;Une commande effectuée,Livraison en retard ou colis perdu,L'entreprise m'a imposé le transporteur sur une liste lors de la commande;2023-12-30;1;NA;0;Internet;0;0;0;Lot;46;76;Occitanie
f48868f5-5e40-4309-a7ff-33e399c3abc9;DemarchageAbusif;Je reçois des appels indésirables alors que je suis inscrit sur Bloctel,L’entreprise veut me vendre un objet ou un service alors que je ne suis pas client chez eux;2022-01-19;0;NA;0;Démarchage téléphonique;0;0;0;Seine-Saint-Denis;93;11;Île-de-France
76ade773-56bc-4eed-a418-903aa1f0e826;TelephonieFaiMedias;Téléphonie / internet,Autre,Qualité du service client;2023-08-24;1;PromesseAction;0;;1;1;1;Hauts-de-Seine;92;11;Île-de-France
dc2001e2-9c18-4d60-8d29-b033ac1f7991;VoyageLoisirs;Taxi / VTC,Taxi,Autre,Autre;2023-07-30;1;NonConsulte;0;Litige contractuel;1;0;0;Paris;75;11;Île-de-France
fef494e5-1677-4d53-b2c4-6662ed4aec5f;VoyageLoisirs;Transports en commun,Abonnement de transport;2023-06-25;0;NonConsulte;0;;1;0;0;Seine-Saint-Denis;93;11;Île-de-France
67cd5f78-165f-4ee6-bf6a-a48d7e095da9;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Produit périmé,Un constat fréquent de produits périmés dans un établissement,Des produits vendus au rayon frais,Oui;2023-08-15;0;PromesseAction;0;;1;1;1;Haute-Garonne;31;76;Occitanie
91924334-250b-4b1c-8137-6f21f00cc91e;TelephonieFaiMedias;Téléphonie / internet,Mon forfait : prix, contrat et facture,Autre problème de facturation ou de contrat,Utilisation de mon forfait à l'étranger;2023-07-30;1;NonConsulte;0;Litige contractuel;1;0;0;Paris;75;11;Île-de-France
0767d458-0ab3-487d-a326-b60d11ff02e5;AchatMagasinInternet;un achat sur internet ou un site de vente en ligne,Le site internet en lui-même;2021-10-14;0;NonConsulte;0;Internet;1;0;0;Val-de-Marne;94;11;Île-de-France
d1bc64d8-83b2-44ca-8ce1-622dbcfdcadc;CafeRestaurant;Prix et paiement,J'ai payé plus cher que le prix affiché;2023-12-30;0;TraitementEnCours;0;;1;0;0;Haute-Savoie;74;84;Auvergne-Rhône-Alpes
f78aa587-b098-4826-bc60-20bfb1df9f7c;VoyageLoisirs;Taxi / VTC,VTC (voiture avec chauffeur),Le prix payé n'est pas celui annoncé au départ;2023-08-15;0;NA;0;Internet;0;0;0;Val-de-Marne;94;11;Île-de-France
142f3472-65dc-4b9c-9286-2437a952df0e;VoitureVehiculeVelo;Réparation, révision, vente de véhicule,Prestation mal réalisée ou pas réalisée;2023-12-30;1;TraitementEnCours;0;Litige contractuel;1;0;0;Pas-de-Calais;62;32;Hauts-de-France
076fc7b1-cf4f-4eba-9afa-498be75c9a31;AchatMagasin;Un magasin physique,Un problème avec un produit en particulier,C'est un objet,Notice et emballage,Informations trompeuses ou fausses;2023-08-15;0;Infonde;0;Produit industriel;1;1;1;Puy-de-Dôme;63;84;Auvergne-Rhône-Alpes
7ed242b1-d0ab-420d-ae25-b01c7a509294;VoyageLoisirs;Transports en commun,Retard / Annulation / Remboursement;2023-08-13;1;PromesseAction;0;Internet;1;1;1;Haute-Corse;2B;94;Corse
3dbbf50b-0fc0-4848-828d-29248a48d0dc;VoitureVehiculeVelo;Réparation, révision, vente de véhicule,Prestation mal réalisée ou pas réalisée;2023-07-31;1;PromesseAction;0;Litige contractuel;1;1;1;Haute-Corse;2B;94;Corse
dd2c137c-e1f8-4a66-892e-04ddc64fd098;VoyageLoisirs;Transports en commun,Retard / Annulation / Remboursement;2023-09-02;1;MalAttribue;0;Internet,Litige contractuel;1;1;1;Hauts-de-Seine;92;11;Île-de-France
c37ac709-bee4-4be8-b37a-b35babb639ca;VoitureVehiculeVelo;Autre;2023-08-15;1;Infonde;0;Internet;1;1;1;Doubs;25;27;Bourgogne-Franche-Comté
7849eace-56d6-4bc3-af58-0c6fe4e4ab71;AchatInternet;Un produit,C'est un objet,Impossible de renvoyer un produit et de me faire rembourser,Il présente un défaut ou il ne marche plus,Neuf,Il y a moins de 2 ans;2023-08-25;1;PromesseAction;0;Produit industriel,Internet,Litige contractuel;1;1;1;Seine-Saint-Denis;93;11;Île-de-France
1857a138-358f-4c01-ba27-48530f88f605;VoyageLoisirs;Transports en commun,Publicité,Information mensongère ou trompeuse,Oui;2021-01-19;1;NonConsulte;0;Litige contractuel,Internet;1;0;0;Paris;75;11;Île-de-France
c0472222-89da-4387-8dcf-fba0e95f32a6;AchatInternet;Une commande effectuée,Le service après-vente ne me répond plus (SAV);2023-08-25;1;PromesseAction;0;Internet;1;1;1;Nord;59;32;Hauts-de-France
c04d5ac4-d86a-4ea5-a3e4-d4a4eaa58f43;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-25;1;PromesseAction;0;Internet,Litige contractuel;1;1;1;Loire-Atlantique;44;52;Pays de la Loire
725fd8bb-810c-4b59-b666-2c655a257446;AchatMagasinInternet;un achat sur internet ou un site de vente en ligne,Une commande effectuée;2021-01-12;0;NA;0;Internet;0;0;0;;;;
67a9b54c-074f-4dae-8cca-b83fb9af9c88;AchatMagasinInternet;un magasin / commerce physique,Un problème avec un produit en particulier,C'est un aliment ou une boisson,Problème de qualité,Moisissure,Un produit vendu dans un emballage;2021-06-12;0;ConsulteIgnore;0;;1;1;0;Puy-de-Dôme;63;84;Auvergne-Rhône-Alpes
eea43ca4-268c-4223-bacc-5a61d84e754d;TravauxRenovations;Autres Travaux,Autre,Prestation,Malfaçon;2023-12-30;1;PromesseAction;0;Litige contractuel;1;1;1;Vendée;85;52;Pays de la Loire
79ed6873-4add-4922-b8d2-5d3a22907933;BanqueAssuranceMutuelle;Banque,Frais bancaires;2023-08-25;1;NonConsulte;0;Internet,Litige contractuel;1;0;0;Paris;75;11;Île-de-France
7ae409a8-2187-4fc4-bba6-861f6e9fec4b;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2024-01-03;1;NA;0;Démarchage téléphonique;0;0;0;Finistère;29;53;Bretagne
c52d7479-cd64-415f-b3fa-095000af6aee;CafeRestaurant;Service,On a refusé de me donner une table ou de me servir;2023-09-02;0;NA;1;ReponseConso;0;0;0;Pas-de-Calais;62;32;Hauts-de-France
30e5ca6b-eb69-41e6-bc69-d7720bdaaadd;EauGazElectricite;Gaz / Électricité,Démarchage à domicile;2023-08-25;0;PromesseAction;0;Démarchage à domicile;1;1;1;Paris;75;11;Île-de-France
4ac366dd-2202-403c-b763-0dde4d1f0952;AchatInternet;Une commande effectuée,Livraison en retard ou colis perdu,L'entreprise m'a imposé le transporteur sur une liste lors de la commande;2024-01-03;1;NA;0;Internet,Litige contractuel;0;0;0;Isère;38;84;Auvergne-Rhône-Alpes
b5bdc033-26c0-4d48-bd42-1155109cb64e;AchatInternet;Problème de résiliation d’abonnement,Je dois payer la procédure de désabonnement;2023-09-02;1;PromesseAction;0;Résiliation,Internet,Litige contractuel;1;1;1;Paris;75;11;Île-de-France
5ca51f28-58f6-42d0-a5ba-7f08836fbac4;AchatMagasinInternet;un magasin / commerce physique,Un problème qui concerne le magasin de façon générale,Autre,Autre;2021-04-27;0;ConsulteIgnore;0;;1;1;0;Doubs;25;27;Bourgogne-Franche-Comté
b8f6e0fb-8cd6-43d1-82d4-6314e9081f88;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2024-01-03;1;NA;0;Démarchage téléphonique,Litige contractuel;0;0;0;Yvelines;78;11;Île-de-France
3c3eb396-ec00-4fbc-b015-e459b9d94d7b;AchatInternet;Une commande effectuée,Le service après-vente ne me répond plus (SAV);2023-08-25;1;PromesseAction;0;Internet,Litige contractuel;1;1;1;Seine-Saint-Denis;93;11;Île-de-France
f89b3f8b-884b-4c5e-99a1-57f29c8eb2bd;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-25;1;PromesseAction;0;Internet;1;1;1;Paris;75;11;Île-de-France
1831e2e3-c6f9-4014-ae52-86cc74590fa6;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2023-08-25;0;NA;0;Démarchage téléphonique;0;0;0;Paris;75;11;Île-de-France
5df7b52a-5a82-4bba-b73b-c7ad2ce0dc62;Immobilier;"Syndic de copropriété,Facturation,J'ai pris connaissance de mon contrat de syndic.,Les frais ne correspondent à aucune des prestations dites ""prestations particulières"".";2023-07-20;1;ConsulteIgnore;0;Litige contractuel;1;1;0;Paris;75;11;Île-de-France
05663600-8d79-4eb2-82c6-1e1d6bff00c6;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-06-16;1;NonConsulte;0;Internet,Litige contractuel;1;0;0;Paris;75;11;Île-de-France
f08323ad-8796-4605-b240-28d389f3bbae;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-25;1;NonConsulte;0;Internet,Litige contractuel;1;0;0;Paris;75;11;Île-de-France
39737919-af5c-490d-bb31-72164a87b353;TravauxRenovations;Autres Travaux,Publicité et pratique de l'entreprise,Démarchage à domicile;2023-08-30;1;Infonde;0;Démarchage à domicile,Litige contractuel;1;1;1;Paris;75;11;Île-de-France
